Stake_Percent,Simulation_Run,Result,Finalization_Time
90,82,SUCCESS,2
2
90,83,SUCCESS,2
2
90,84,SUCCESS,2
2
90,85,SUCCESS,2
2
90,86,SUCCESS,2
2
90,87,SUCCESS,2
2
90,88,SUCCESS,2
2
90,89,SUCCESS,2
2
90,90,SUCCESS,2
2
90,91,SUCCESS,2
2
90,92,SUCCESS,2
2
90,93,SUCCESS,2
2
90,94,SUCCESS,2
2
90,95,SUCCESS,2
2
90,96,SUCCESS,2
2
90,97,SUCCESS,2
2
90,98,SUCCESS,2
2
90,99,SUCCESS,2
2
90,100,SUCCESS,2
2
