Adversary_Stake,Test_Run,Result,Certificates_Formed
nothing_at_stake,20,32,FAILURE,2
nothing_at_stake,20,33,FAILURE,2
nothing_at_stake,20,34,FAILURE,2
nothing_at_stake,20,35,FAILURE,2
nothing_at_stake,20,36,FAILURE,2
nothing_at_stake,20,37,FAILURE,2
nothing_at_stake,20,38,FAILURE,2
nothing_at_stake,20,39,FAILURE,2
nothing_at_stake,20,40,FAILURE,2
nothing_at_stake,20,41,FAILURE,2
nothing_at_stake,20,42,FAILURE,2
nothing_at_stake,20,43,FAILURE,2
nothing_at_stake,20,44,FAILURE,2
nothing_at_stake,20,45,FAILURE,2
nothing_at_stake,20,46,FAILURE,2
nothing_at_stake,20,47,FAILURE,2
nothing_at_stake,20,48,FAILURE,2
nothing_at_stake,20,49,FAILURE,2
nothing_at_stake,20,50,FAILURE,2
