Test_Type,Node_Count,Fanout,Test_Run,Result,Details
fanout,20,3,3,SUCCESS,Valid fanout optimization
fanout,20,3,4,SUCCESS,Valid fanout optimization
fanout,20,3,5,SUCCESS,Valid fanout optimization
fanout,20,3,6,SUCCESS,Valid fanout optimization
fanout,20,3,7,SUCCESS,Valid fanout optimization
fanout,20,3,8,SUCCESS,Valid fanout optimization
fanout,20,3,9,SUCCESS,Valid fanout optimization
fanout,20,3,10,SUCCESS,Valid fanout optimization
fanout,20,3,11,SUCCESS,Valid fanout optimization
fanout,20,3,12,SUCCESS,Valid fanout optimization
fanout,20,3,13,SUCCESS,Valid fanout optimization
fanout,20,3,14,SUCCESS,Valid fanout optimization
fanout,20,3,15,SUCCESS,Valid fanout optimization
fanout,20,3,16,SUCCESS,Valid fanout optimization
fanout,20,3,17,SUCCESS,Valid fanout optimization
fanout,20,3,18,SUCCESS,Valid fanout optimization
fanout,20,3,19,SUCCESS,Valid fanout optimization
fanout,20,3,20,SUCCESS,Valid fanout optimization
fanout,20,3,21,SUCCESS,Valid fanout optimization
fanout,20,3,22,SUCCESS,Valid fanout optimization
fanout,20,3,23,SUCCESS,Valid fanout optimization
fanout,20,3,24,SUCCESS,Valid fanout optimization
fanout,20,3,25,SUCCESS,Valid fanout optimization
fanout,20,3,26,SUCCESS,Valid fanout optimization
fanout,20,3,27,SUCCESS,Valid fanout optimization
fanout,20,3,28,SUCCESS,Valid fanout optimization
fanout,20,3,29,SUCCESS,Valid fanout optimization
fanout,20,3,30,SUCCESS,Valid fanout optimization
fanout,20,4,1,SUCCESS,Valid fanout optimization
fanout,20,4,2,SUCCESS,Valid fanout optimization
fanout,20,4,3,SUCCESS,Valid fanout optimization
fanout,20,4,4,SUCCESS,Valid fanout optimization
fanout,20,4,5,SUCCESS,Valid fanout optimization
fanout,20,4,6,SUCCESS,Valid fanout optimization
fanout,20,4,7,SUCCESS,Valid fanout optimization
fanout,20,4,8,SUCCESS,Valid fanout optimization
fanout,20,4,9,SUCCESS,Valid fanout optimization
fanout,20,4,10,SUCCESS,Valid fanout optimization
fanout,20,4,11,SUCCESS,Valid fanout optimization
fanout,20,4,12,SUCCESS,Valid fanout optimization
fanout,20,4,13,SUCCESS,Valid fanout optimization
fanout,20,4,14,SUCCESS,Valid fanout optimization
fanout,20,4,15,SUCCESS,Valid fanout optimization
fanout,20,4,16,SUCCESS,Valid fanout optimization
fanout,20,4,17,SUCCESS,Valid fanout optimization
fanout,20,4,18,SUCCESS,Valid fanout optimization
fanout,20,4,19,SUCCESS,Valid fanout optimization
fanout,20,4,20,SUCCESS,Valid fanout optimization
fanout,20,4,21,SUCCESS,Valid fanout optimization
fanout,20,4,22,SUCCESS,Valid fanout optimization
fanout,20,4,23,SUCCESS,Valid fanout optimization
fanout,20,4,24,SUCCESS,Valid fanout optimization
fanout,20,4,25,SUCCESS,Valid fanout optimization
fanout,20,4,26,SUCCESS,Valid fanout optimization
fanout,20,4,27,SUCCESS,Valid fanout optimization
fanout,20,4,28,SUCCESS,Valid fanout optimization
fanout,20,4,29,SUCCESS,Valid fanout optimization
fanout,20,4,30,SUCCESS,Valid fanout optimization
fanout,20,5,1,SUCCESS,Valid fanout optimization
fanout,20,5,2,SUCCESS,Valid fanout optimization
fanout,20,5,3,SUCCESS,Valid fanout optimization
fanout,20,5,4,SUCCESS,Valid fanout optimization
fanout,20,5,5,SUCCESS,Valid fanout optimization
fanout,20,5,6,SUCCESS,Valid fanout optimization
fanout,20,5,7,SUCCESS,Valid fanout optimization
fanout,20,5,8,SUCCESS,Valid fanout optimization
fanout,20,5,9,SUCCESS,Valid fanout optimization
fanout,20,5,10,SUCCESS,Valid fanout optimization
fanout,20,5,11,SUCCESS,Valid fanout optimization
fanout,20,5,12,SUCCESS,Valid fanout optimization
fanout,20,5,13,SUCCESS,Valid fanout optimization
fanout,20,5,14,SUCCESS,Valid fanout optimization
fanout,20,5,15,SUCCESS,Valid fanout optimization
fanout,20,5,16,SUCCESS,Valid fanout optimization
fanout,20,5,17,SUCCESS,Valid fanout optimization
fanout,20,5,18,SUCCESS,Valid fanout optimization
fanout,20,5,19,SUCCESS,Valid fanout optimization
fanout,20,5,20,SUCCESS,Valid fanout optimization
fanout,20,5,21,SUCCESS,Valid fanout optimization
fanout,20,5,22,SUCCESS,Valid fanout optimization
fanout,20,5,23,SUCCESS,Valid fanout optimization
fanout,20,5,24,SUCCESS,Valid fanout optimization
fanout,20,5,25,SUCCESS,Valid fanout optimization
fanout,20,5,26,SUCCESS,Valid fanout optimization
fanout,20,5,27,SUCCESS,Valid fanout optimization
fanout,20,5,28,SUCCESS,Valid fanout optimization
fanout,20,5,29,SUCCESS,Valid fanout optimization
fanout,20,5,30,SUCCESS,Valid fanout optimization
fanout,20,6,1,SUCCESS,Valid fanout optimization
fanout,20,6,2,SUCCESS,Valid fanout optimization
fanout,20,6,3,SUCCESS,Valid fanout optimization
fanout,20,6,4,SUCCESS,Valid fanout optimization
fanout,20,6,5,SUCCESS,Valid fanout optimization
fanout,20,6,6,SUCCESS,Valid fanout optimization
fanout,20,6,7,SUCCESS,Valid fanout optimization
fanout,20,6,8,SUCCESS,Valid fanout optimization
fanout,20,6,9,SUCCESS,Valid fanout optimization
fanout,20,6,10,SUCCESS,Valid fanout optimization
fanout,20,6,11,SUCCESS,Valid fanout optimization
fanout,20,6,12,SUCCESS,Valid fanout optimization
fanout,20,6,13,SUCCESS,Valid fanout optimization
fanout,20,6,14,SUCCESS,Valid fanout optimization
fanout,20,6,15,SUCCESS,Valid fanout optimization
fanout,20,6,16,SUCCESS,Valid fanout optimization
fanout,20,6,17,SUCCESS,Valid fanout optimization
fanout,20,6,18,SUCCESS,Valid fanout optimization
fanout,20,6,19,SUCCESS,Valid fanout optimization
fanout,20,6,20,SUCCESS,Valid fanout optimization
fanout,20,6,21,SUCCESS,Valid fanout optimization
