Test_Type,Window_Size,Test_Run,Result,Details
failure,30,20,SUCCESS,Valid failure handling
failure,30,21,SUCCESS,Valid failure handling
failure,30,22,SUCCESS,Valid failure handling
failure,30,23,SUCCESS,Valid failure handling
failure,30,24,SUCCESS,Valid failure handling
failure,30,25,SUCCESS,Valid failure handling
failure,30,26,SUCCESS,Valid failure handling
failure,30,27,SUCCESS,Valid failure handling
failure,30,28,SUCCESS,Valid failure handling
failure,30,29,SUCCESS,Valid failure handling
failure,30,30,SUCCESS,Valid failure handling
failure,40,1,SUCCESS,Valid failure handling
failure,40,2,SUCCESS,Valid failure handling
failure,40,3,SUCCESS,Valid failure handling
failure,40,4,SUCCESS,Valid failure handling
failure,40,5,SUCCESS,Valid failure handling
failure,40,6,SUCCESS,Valid failure handling
failure,40,7,SUCCESS,Valid failure handling
failure,40,8,SUCCESS,Valid failure handling
failure,40,9,SUCCESS,Valid failure handling
failure,40,10,SUCCESS,Valid failure handling
failure,40,11,SUCCESS,Valid failure handling
failure,40,12,SUCCESS,Valid failure handling
failure,40,13,SUCCESS,Valid failure handling
failure,40,14,SUCCESS,Valid failure handling
failure,40,15,SUCCESS,Valid failure handling
failure,40,16,SUCCESS,Valid failure handling
failure,40,17,SUCCESS,Valid failure handling
failure,40,18,SUCCESS,Valid failure handling
failure,40,19,SUCCESS,Valid failure handling
failure,40,20,SUCCESS,Valid failure handling
failure,40,21,SUCCESS,Valid failure handling
failure,40,22,SUCCESS,Valid failure handling
failure,40,23,SUCCESS,Valid failure handling
failure,40,24,SUCCESS,Valid failure handling
failure,40,25,SUCCESS,Valid failure handling
failure,40,26,SUCCESS,Valid failure handling
failure,40,27,SUCCESS,Valid failure handling
failure,40,28,SUCCESS,Valid failure handling
failure,40,29,SUCCESS,Valid failure handling
failure,40,30,SUCCESS,Valid failure handling
stake_weighted,10,1,SUCCESS,Valid stake-weighted selection
stake_weighted,10,2,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,SUCCESS,Valid stake-weighted selection
stake_weighted,10,4,SUCCESS,Valid stake-weighted selection
stake_weighted,10,5,SUCCESS,Valid stake-weighted selection
stake_weighted,10,6,SUCCESS,Valid stake-weighted selection
stake_weighted,10,7,SUCCESS,Valid stake-weighted selection
stake_weighted,10,8,SUCCESS,Valid stake-weighted selection
stake_weighted,10,9,SUCCESS,Valid stake-weighted selection
stake_weighted,10,10,SUCCESS,Valid stake-weighted selection
stake_weighted,10,11,SUCCESS,Valid stake-weighted selection
stake_weighted,10,12,SUCCESS,Valid stake-weighted selection
stake_weighted,10,13,SUCCESS,Valid stake-weighted selection
stake_weighted,10,14,SUCCESS,Valid stake-weighted selection
stake_weighted,10,15,SUCCESS,Valid stake-weighted selection
stake_weighted,10,16,SUCCESS,Valid stake-weighted selection
stake_weighted,10,17,SUCCESS,Valid stake-weighted selection
stake_weighted,10,18,SUCCESS,Valid stake-weighted selection
stake_weighted,10,19,SUCCESS,Valid stake-weighted selection
stake_weighted,10,20,SUCCESS,Valid stake-weighted selection
stake_weighted,10,21,SUCCESS,Valid stake-weighted selection
stake_weighted,10,22,SUCCESS,Valid stake-weighted selection
stake_weighted,10,23,SUCCESS,Valid stake-weighted selection
stake_weighted,10,24,SUCCESS,Valid stake-weighted selection
stake_weighted,10,25,SUCCESS,Valid stake-weighted selection
stake_weighted,10,26,SUCCESS,Valid stake-weighted selection
stake_weighted,10,27,SUCCESS,Valid stake-weighted selection
stake_weighted,10,28,SUCCESS,Valid stake-weighted selection
stake_weighted,10,29,SUCCESS,Valid stake-weighted selection
stake_weighted,10,30,SUCCESS,Valid stake-weighted selection
stake_weighted,10,31,SUCCESS,Valid stake-weighted selection
stake_weighted,10,32,SUCCESS,Valid stake-weighted selection
stake_weighted,10,33,SUCCESS,Valid stake-weighted selection
stake_weighted,10,34,SUCCESS,Valid stake-weighted selection
stake_weighted,10,35,SUCCESS,Valid stake-weighted selection
stake_weighted,10,36,SUCCESS,Valid stake-weighted selection
stake_weighted,10,37,SUCCESS,Valid stake-weighted selection
stake_weighted,10,38,SUCCESS,Valid stake-weighted selection
stake_weighted,10,39,SUCCESS,Valid stake-weighted selection
stake_weighted,10,40,SUCCESS,Valid stake-weighted selection
stake_weighted,10,41,SUCCESS,Valid stake-weighted selection
stake_weighted,10,42,SUCCESS,Valid stake-weighted selection
stake_weighted,10,43,SUCCESS,Valid stake-weighted selection
stake_weighted,10,44,SUCCESS,Valid stake-weighted selection
stake_weighted,10,45,SUCCESS,Valid stake-weighted selection
stake_weighted,10,46,SUCCESS,Valid stake-weighted selection
stake_weighted,10,47,SUCCESS,Valid stake-weighted selection
stake_weighted,10,48,SUCCESS,Valid stake-weighted selection
stake_weighted,10,49,SUCCESS,Valid stake-weighted selection
stake_weighted,10,50,SUCCESS,Valid stake-weighted selection
window_sliding,10,1,SUCCESS,Valid window sliding
window_sliding,10,2,SUCCESS,Valid window sliding
window_sliding,10,3,SUCCESS,Valid window sliding
window_sliding,10,4,SUCCESS,Valid window sliding
window_sliding,10,5,SUCCESS,Valid window sliding
window_sliding,10,6,SUCCESS,Valid window sliding
window_sliding,10,7,SUCCESS,Valid window sliding
window_sliding,10,8,SUCCESS,Valid window sliding
window_sliding,10,9,SUCCESS,Valid window sliding
window_sliding,10,10,SUCCESS,Valid window sliding
window_sliding,10,11,SUCCESS,Valid window sliding
window_sliding,10,12,SUCCESS,Valid window sliding
window_sliding,10,13,SUCCESS,Valid window sliding
window_sliding,10,14,SUCCESS,Valid window sliding
window_sliding,10,15,SUCCESS,Valid window sliding
window_sliding,10,16,SUCCESS,Valid window sliding
window_sliding,10,17,SUCCESS,Valid window sliding
window_sliding,10,18,SUCCESS,Valid window sliding
window_sliding,10,19,SUCCESS,Valid window sliding
window_sliding,10,20,SUCCESS,Valid window sliding
window_sliding,10,21,SUCCESS,Valid window sliding
window_sliding,10,22,SUCCESS,Valid window sliding
window_sliding,10,23,SUCCESS,Valid window sliding
window_sliding,10,24,SUCCESS,Valid window sliding
window_sliding,10,25,SUCCESS,Valid window sliding
window_sliding,10,26,SUCCESS,Valid window sliding
window_sliding,10,27,SUCCESS,Valid window sliding
window_sliding,10,28,SUCCESS,Valid window sliding
window_sliding,10,29,SUCCESS,Valid window sliding
window_sliding,10,30,SUCCESS,Valid window sliding
